slopeH,NADPH_flux,NAD_flux,Fd_flux,F_slip,F_yield,slopeH_rounded
-0.153931893,-0.000503241,0.000210289,0.000235833,0.087917493,1053.3377176155448,-0.153932
-0.153923892,-0.000503071,0.000210202,0.000235758,0.087944856,1053.7063151345378,-0.153924
-0.153915892,-0.000502867,0.000210056,0.000235658,0.088062291,1054.206894858351,-0.153916
-0.153907891,-0.000502584,0.000209915,0.000235523,0.088105575,1054.8284204457505,-0.153908
-0.15389989,-0.000502521,0.000209815,0.000235492,0.088242423,1055.0425167341025,-0.1539
-0.153891889,-0.000502352,0.000209602,0.000235407,0.08851183,1055.56277,-0.153892
-0.153883888,-0.000502078,0.000209532,0.000235284,0.088425693,1056.0841166403536,-0.153884
-0.153875888,-0.000501977,0.000209409,0.00023523,0.088580011,1056.3949861026651,-0.153876
-0.153867887,-0.000501846,0.000209248,0.000235164,0.088782493,1056.7953411945025,-0.153868
-0.153859886,-0.000501724,0.000209149,0.000235103,0.088873468,1057.1086816092777,-0.15386
-0.153851885,-0.000501517,0.00020899,0.000235001,0.089013043,1057.6321906972787,-0.153852
-0.153843884,-0.000501436,0.000208977,0.000234945,0.088987681,1057.7999372039053,-0.153844
-0.153835884,-0.000501153,0.000208925,0.000234816,0.088863105,1058.3209914874094,-0.153836
-0.153827883,-0.000501094,0.000208814,0.00023478,0.089029761,1058.5510761552482,-0.153828
-0.153819882,-0.000500796,0.000208686,0.000234645,0.089034059,1059.1803274118774,-0.15382
-0.153811881,-0.000500611,0.000208575,0.000234555,0.089098416,1059.611251,-0.153812
-0.15380388,-0.000500636,0.000208442,0.000234561,0.089371848,1059.7274694336936,-0.153804
-0.15379588,-0.000500478,0.000208255,0.000234486,0.089598582,1060.198297935402,-0.153796
-0.153787879,-0.000500206,0.0002082,0.000234359,0.089488759,1060.709010243952,-0.153788
-0.153779878,-0.000500129,0.000208008,0.000234316,0.089793963,1061.061508069164,-0.15378
